"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Missouri"	"29"	"2000"	"2000"	"Drug-induced causes"	"D"	327	5595211	5.84	5.91
	"Missouri"	"29"	"2000"	"2000"	"Alcohol-induced causes"	"A"	328	5595211	5.86	5.80
"Total"	"Missouri"	"29"	"2000"	"2000"			655	5595211	11.71	11.71
	"Missouri"	"29"	"2001"	"2001"	"Drug-induced causes"	"D"	381	5641142	6.75	6.80
	"Missouri"	"29"	"2001"	"2001"	"Alcohol-induced causes"	"A"	372	5641142	6.59	6.44
"Total"	"Missouri"	"29"	"2001"	"2001"			753	5641142	13.35	13.25
	"Missouri"	"29"	"2002"	"2002"	"Drug-induced causes"	"D"	443	5674825	7.81	7.93
	"Missouri"	"29"	"2002"	"2002"	"Alcohol-induced causes"	"A"	326	5674825	5.74	5.61
"Total"	"Missouri"	"29"	"2002"	"2002"			769	5674825	13.55	13.53
	"Missouri"	"29"	"2003"	"2003"	"Drug-induced causes"	"D"	550	5709403	9.63	9.78
	"Missouri"	"29"	"2003"	"2003"	"Alcohol-induced causes"	"A"	343	5709403	6.01	5.78
"Total"	"Missouri"	"29"	"2003"	"2003"			893	5709403	15.64	15.56
	"Missouri"	"29"	"2004"	"2004"	"Drug-induced causes"	"D"	574	5747741	9.99	10.21
	"Missouri"	"29"	"2004"	"2004"	"Alcohol-induced causes"	"A"	384	5747741	6.68	6.39
"Total"	"Missouri"	"29"	"2004"	"2004"			958	5747741	16.67	16.60
	"Missouri"	"29"	"2005"	"2005"	"Drug-induced causes"	"D"	640	5790300	11.05	11.25
	"Missouri"	"29"	"2005"	"2005"	"Alcohol-induced causes"	"A"	340	5790300	5.87	5.51
"Total"	"Missouri"	"29"	"2005"	"2005"			980	5790300	16.92	16.74
	"Missouri"	"29"	"2006"	"2006"	"Drug-induced causes"	"D"	765	5842704	13.09	13.32
	"Missouri"	"29"	"2006"	"2006"	"Alcohol-induced causes"	"A"	385	5842704	6.59	6.19
"Total"	"Missouri"	"29"	"2006"	"2006"			1150	5842704	19.68	19.50
	"Missouri"	"29"	"2007"	"2007"	"Drug-induced causes"	"D"	730	5887612	12.40	12.51
	"Missouri"	"29"	"2007"	"2007"	"Alcohol-induced causes"	"A"	324	5887612	5.50	5.15
"Total"	"Missouri"	"29"	"2007"	"2007"			1054	5887612	17.90	17.64
	"Missouri"	"29"	"2008"	"2008"	"Drug-induced causes"	"D"	779	5923916	13.15	13.37
	"Missouri"	"29"	"2008"	"2008"	"Alcohol-induced causes"	"A"	397	5923916	6.70	6.23
"Total"	"Missouri"	"29"	"2008"	"2008"			1176	5923916	19.85	19.59
	"Missouri"	"29"	"2009"	"2009"	"Drug-induced causes"	"D"	881	5961088	14.78	14.95
	"Missouri"	"29"	"2009"	"2009"	"Alcohol-induced causes"	"A"	376	5961088	6.31	5.72
"Total"	"Missouri"	"29"	"2009"	"2009"			1257	5961088	21.09	20.69
	"Missouri"	"29"	"2010"	"2010"	"Drug-induced causes"	"D"	1024	5988927	17.10	17.44
	"Missouri"	"29"	"2010"	"2010"	"Alcohol-induced causes"	"A"	399	5988927	6.66	6.01
"Total"	"Missouri"	"29"	"2010"	"2010"			1423	5988927	23.76	23.47
	"Missouri"	"29"	"2011"	"2011"	"Drug-induced causes"	"D"	990	6010688	16.47	16.86
	"Missouri"	"29"	"2011"	"2011"	"Alcohol-induced causes"	"A"	367	6010688	6.11	5.45
"Total"	"Missouri"	"29"	"2011"	"2011"			1357	6010688	22.58	22.31
	"Missouri"	"29"	"2012"	"2012"	"Drug-induced causes"	"D"	961	6021988	15.96	16.50
	"Missouri"	"29"	"2012"	"2012"	"Alcohol-induced causes"	"A"	451	6021988	7.49	6.79
"Total"	"Missouri"	"29"	"2012"	"2012"			1412	6021988	23.45	23.29
	"Missouri"	"29"	"2013"	"2013"	"Drug-induced causes"	"D"	1041	6044171	17.22	17.73
	"Missouri"	"29"	"2013"	"2013"	"Alcohol-induced causes"	"A"	450	6044171	7.45	6.54
"Total"	"Missouri"	"29"	"2013"	"2013"			1491	6044171	24.67	24.26
	"Missouri"	"29"	"2014"	"2014"	"Drug-induced causes"	"D"	1107	6063589	18.26	18.88
	"Missouri"	"29"	"2014"	"2014"	"Alcohol-induced causes"	"A"	474	6063589	7.82	6.99
"Total"	"Missouri"	"29"	"2014"	"2014"			1581	6063589	26.07	25.85
	"Missouri"	"29"	"2015"	"2015"	"Drug-induced causes"	"D"	1098	6083672	18.05	18.38
	"Missouri"	"29"	"2015"	"2015"	"Alcohol-induced causes"	"A"	512	6083672	8.42	7.47
"Total"	"Missouri"	"29"	"2015"	"2015"			1610	6083672	26.46	25.84
	"Missouri"	"29"	"2016"	"2016"	"Drug-induced causes"	"D"	1418	6093000	23.27	24.34
	"Missouri"	"29"	"2016"	"2016"	"Alcohol-induced causes"	"A"	536	6093000	8.80	7.75
"Total"	"Missouri"	"29"	"2016"	"2016"			1954	6093000	32.07	32.10
	"Missouri"	"29"	"2017"	"2017"	"Drug-induced causes"	"D"	1426	6113532	23.33	24.31
	"Missouri"	"29"	"2017"	"2017"	"Alcohol-induced causes"	"A"	556	6113532	9.09	7.95
"Total"	"Missouri"	"29"	"2017"	"2017"			1982	6113532	32.42	32.26
"Total"	"Missouri"	"29"					23148	111755457	20.71	20.52
	"Montana"	"30"	"1999"	"1999"	"Drug-induced causes"	"D"	48	897507	5.35	5.39
	"Montana"	"30"	"1999"	"1999"	"Alcohol-induced causes"	"A"	76	897507	8.47	8.07
"Total"	"Montana"	"30"	"1999"	"1999"			124	897507	13.82	13.47
	"Montana"	"30"	"2000"	"2000"	"Drug-induced causes"	"D"	47	902195	5.21	5.15
	"Montana"	"30"	"2000"	"2000"	"Alcohol-induced causes"	"A"	80	902195	8.87	8.42
"Total"	"Montana"	"30"	"2000"	"2000"			127	902195	14.08	13.58
	"Montana"	"30"	"2001"	"2001"	"Drug-induced causes"	"D"	62	906961	6.84	6.88
	"Montana"	"30"	"2001"	"2001"	"Alcohol-induced causes"	"A"	107	906961	11.80	11.19
"Total"	"Montana"	"30"	"2001"	"2001"			169	906961	18.63	18.07
	"Montana"	"30"	"2002"	"2002"	"Drug-induced causes"	"D"	85	911667	9.32	9.46
	"Montana"	"30"	"2002"	"2002"	"Alcohol-induced causes"	"A"	111	911667	12.18	11.35
"Total"	"Montana"	"30"	"2002"	"2002"			196	911667	21.50	20.79
	"Montana"	"30"	"2003"	"2003"	"Drug-induced causes"	"D"	116	919630	12.61	12.89
	"Montana"	"30"	"2003"	"2003"	"Alcohol-induced causes"	"A"	109	919630	11.85	11.12
"Total"	"Montana"	"30"	"2003"	"2003"			225	919630	24.47	24.01
	"Montana"	"30"	"2004"	"2004"	"Drug-induced causes"	"D"	119	930009	12.80	13.04
	"Montana"	"30"	"2004"	"2004"	"Alcohol-induced causes"	"A"	100	930009	10.75	9.95
"Total"	"Montana"	"30"	"2004"	"2004"			219	930009	23.55	23.01
	"Montana"	"30"	"2005"	"2005"	"Drug-induced causes"	"D"	119	940102	12.66	12.33
	"Montana"	"30"	"2005"	"2005"	"Alcohol-induced causes"	"A"	125	940102	13.30	12.08
"Total"	"Montana"	"30"	"2005"	"2005"			244	940102	25.95	24.39
	"Montana"	"30"	"2006"	"2006"	"Drug-induced causes"	"D"	121	952692	12.70	12.54
	"Montana"	"30"	"2006"	"2006"	"Alcohol-induced causes"	"A"	149	952692	15.64	14.22
"Total"	"Montana"	"30"	"2006"	"2006"			270	952692	28.34	26.76
	"Montana"	"30"	"2007"	"2007"	"Drug-induced causes"	"D"	132	964706	13.68	13.43
	"Montana"	"30"	"2007"	"2007"	"Alcohol-induced causes"	"A"	143	964706	14.82	12.94
"Total"	"Montana"	"30"	"2007"	"2007"			275	964706	28.51	26.32
	"Montana"	"30"	"2008"	"2008"	"Drug-induced causes"	"D"	141	976415	14.44	14.76
	"Montana"	"30"	"2008"	"2008"	"Alcohol-induced causes"	"A"	162	976415	16.59	15.00
"Total"	"Montana"	"30"	"2008"	"2008"			303	976415	31.03	29.75
	"Montana"	"30"	"2009"	"2009"	"Drug-induced causes"	"D"	147	983982	14.94	15.03
	"Montana"	"30"	"2009"	"2009"	"Alcohol-induced causes"	"A"	147	983982	14.94	13.91
"Total"	"Montana"	"30"	"2009"	"2009"			294	983982	29.88	28.95
	"Montana"	"30"	"2010"	"2010"	"Drug-induced causes"	"D"	123	989415	12.43	13.30
	"Montana"	"30"	"2010"	"2010"	"Alcohol-induced causes"	"A"	147	989415	14.86	13.05
"Total"	"Montana"	"30"	"2010"	"2010"			270	989415	27.29	26.34
	"Montana"	"30"	"2011"	"2011"	"Drug-induced causes"	"D"	150	998199	15.03	15.25
	"Montana"	"30"	"2011"	"2011"	"Alcohol-induced causes"	"A"	139	998199	13.93	12.20
"Total"	"Montana"	"30"	"2011"	"2011"			289	998199	28.95	27.47
	"Montana"	"30"	"2012"	"2012"	"Drug-induced causes"	"D"	129	1005141	12.83	13.16
	"Montana"	"30"	"2012"	"2012"	"Alcohol-induced causes"	"A"	166	1005141	16.52	14.62
"Total"	"Montana"	"30"	"2012"	"2012"			295	1005141	29.35	27.78
	"Montana"	"30"	"2013"	"2013"	"Drug-induced causes"	"D"	156	1015165	15.37	16.25
	"Montana"	"30"	"2013"	"2013"	"Alcohol-induced causes"	"A"	194	1015165	19.11	16.83
"Total"	"Montana"	"30"	"2013"	"2013"			350	1015165	34.48	33.08
	"Montana"	"30"	"2014"	"2014"	"Drug-induced causes"	"D"	145	1023579	14.17	14.41
	"Montana"	"30"	"2014"	"2014"	"Alcohol-induced causes"	"A"	162	1023579	15.83	13.80
"Total"	"Montana"	"30"	"2014"	"2014"			307	1023579	29.99	28.21
	"Montana"	"30"	"2015"	"2015"	"Drug-induced causes"	"D"	152	1032949	14.72	15.25
	"Montana"	"30"	"2015"	"2015"	"Alcohol-induced causes"	"A"	194	1032949	18.78	17.12
"Total"	"Montana"	"30"	"2015"	"2015"			346	1032949	33.50	32.38
	"Montana"	"30"	"2016"	"2016"	"Drug-induced causes"	"D"	136	1042520	13.05	13.36
	"Montana"	"30"	"2016"	"2016"	"Alcohol-induced causes"	"A"	184	1042520	17.65	15.41
"Total"	"Montana"	"30"	"2016"	"2016"			320	1042520	30.69	28.78
	"Montana"	"30"	"2017"	"2017"	"Drug-induced causes"	"D"	132	1050493	12.57	12.91
	"Montana"	"30"	"2017"	"2017"	"Alcohol-induced causes"	"A"	249	1050493	23.70	20.66
"Total"	"Montana"	"30"	"2017"	"2017"			381	1050493	36.27	33.57
"Total"	"Montana"	"30"					5004	18443327	27.13	25.78
	"Nebraska"	"31"	"1999"	"1999"	"Drug-induced causes"	"D"	41	1704764	2.41	2.45
	"Nebraska"	"31"	"1999"	"1999"	"Alcohol-induced causes"	"A"	90	1704764	5.28	5.43
"Total"	"Nebraska"	"31"	"1999"	"1999"			131	1704764	7.68	7.88
	"Nebraska"	"31"	"2000"	"2000"	"Drug-induced causes"	"D"	52	1711263	3.04	3.06
	"Nebraska"	"31"	"2000"	"2000"	"Alcohol-induced causes"	"A"	70	1711263	4.09	4.20
"Total"	"Nebraska"	"31"	"2000"	"2000"			122	1711263	7.13	7.27
	"Nebraska"	"31"	"2001"	"2001"	"Drug-induced causes"	"D"	69	1719836	4.01	4.11
	"Nebraska"	"31"	"2001"	"2001"	"Alcohol-induced causes"	"A"	86	1719836	5.00	5.07
"Total"	"Nebraska"	"31"	"2001"	"2001"			155	1719836	9.01	9.19
	"Nebraska"	"31"	"2002"	"2002"	"Drug-induced causes"	"D"	69	1728292	3.99	4.12
	"Nebraska"	"31"	"2002"	"2002"	"Alcohol-induced causes"	"A"	108	1728292	6.25	6.28
"Total"	"Nebraska"	"31"	"2002"	"2002"			177	1728292	10.24	10.39
	"Nebraska"	"31"	"2003"	"2003"	"Drug-induced causes"	"D"	88	1738643	5.06	5.04
	"Nebraska"	"31"	"2003"	"2003"	"Alcohol-induced causes"	"A"	92	1738643	5.29	5.29
"Total"	"Nebraska"	"31"	"2003"	"2003"			180	1738643	10.35	10.30
	"Nebraska"	"31"	"2004"	"2004"	"Drug-induced causes"	"D"	91	1749370	5.20	5.24
	"Nebraska"	"31"	"2004"	"2004"	"Alcohol-induced causes"	"A"	103	1749370	5.89	5.77
"Total"	"Nebraska"	"31"	"2004"	"2004"			194	1749370	11.09	11.02
	"Nebraska"	"31"	"2005"	"2005"	"Drug-induced causes"	"D"	129	1761497	7.32	7.29
	"Nebraska"	"31"	"2005"	"2005"	"Alcohol-induced causes"	"A"	113	1761497	6.41	6.41
"Total"	"Nebraska"	"31"	"2005"	"2005"			242	1761497	13.74	13.70
	"Nebraska"	"31"	"2006"	"2006"	"Drug-induced causes"	"D"	131	1772693	7.39	7.41
	"Nebraska"	"31"	"2006"	"2006"	"Alcohol-induced causes"	"A"	105	1772693	5.92	5.75
"Total"	"Nebraska"	"31"	"2006"	"2006"			236	1772693	13.31	13.16
	"Nebraska"	"31"	"2007"	"2007"	"Drug-induced causes"	"D"	92	1783440	5.16	5.36
	"Nebraska"	"31"	"2007"	"2007"	"Alcohol-induced causes"	"A"	103	1783440	5.78	5.70
"Total"	"Nebraska"	"31"	"2007"	"2007"			195	1783440	10.93	11.06
	"Nebraska"	"31"	"2008"	"2008"	"Drug-induced causes"	"D"	113	1796378	6.29	6.43
	"Nebraska"	"31"	"2008"	"2008"	"Alcohol-induced causes"	"A"	137	1796378	7.63	7.20
"Total"	"Nebraska"	"31"	"2008"	"2008"			250	1796378	13.92	13.65
	"Nebraska"	"31"	"2009"	"2009"	"Drug-induced causes"	"D"	118	1812683	6.51	6.50
	"Nebraska"	"31"	"2009"	"2009"	"Alcohol-induced causes"	"A"	134	1812683	7.39	6.71
"Total"	"Nebraska"	"31"	"2009"	"2009"			252	1812683	13.90	13.22
	"Nebraska"	"31"	"2010"	"2010"	"Drug-induced causes"	"D"	130	1826341	7.12	7.35
	"Nebraska"	"31"	"2010"	"2010"	"Alcohol-induced causes"	"A"	145	1826341	7.94	7.41
"Total"	"Nebraska"	"31"	"2010"	"2010"			275	1826341	15.06	14.77
	"Nebraska"	"31"	"2011"	"2011"	"Drug-induced causes"	"D"	148	1842641	8.03	8.03
	"Nebraska"	"31"	"2011"	"2011"	"Alcohol-induced causes"	"A"	130	1842641	7.06	6.64
"Total"	"Nebraska"	"31"	"2011"	"2011"			278	1842641	15.09	14.69
	"Nebraska"	"31"	"2012"	"2012"	"Drug-induced causes"	"D"	154	1855525	8.30	8.32
	"Nebraska"	"31"	"2012"	"2012"	"Alcohol-induced causes"	"A"	174	1855525	9.38	8.48
"Total"	"Nebraska"	"31"	"2012"	"2012"			328	1855525	17.68	16.79
	"Nebraska"	"31"	"2013"	"2013"	"Drug-induced causes"	"D"	137	1868516	7.33	7.48
	"Nebraska"	"31"	"2013"	"2013"	"Alcohol-induced causes"	"A"	181	1868516	9.69	9.11
"Total"	"Nebraska"	"31"	"2013"	"2013"			318	1868516	17.02	16.57
	"Nebraska"	"31"	"2014"	"2014"	"Drug-induced causes"	"D"	140	1881503	7.44	7.89
	"Nebraska"	"31"	"2014"	"2014"	"Alcohol-induced causes"	"A"	184	1881503	9.78	8.99
"Total"	"Nebraska"	"31"	"2014"	"2014"			324	1881503	17.22	16.88
	"Nebraska"	"31"	"2015"	"2015"	"Drug-induced causes"	"D"	139	1896190	7.33	7.63
	"Nebraska"	"31"	"2015"	"2015"	"Alcohol-induced causes"	"A"	199	1896190	10.49	9.81
"Total"	"Nebraska"	"31"	"2015"	"2015"			338	1896190	17.83	17.42
	"Nebraska"	"31"	"2016"	"2016"	"Drug-induced causes"	"D"	146	1907116	7.66	7.71
	"Nebraska"	"31"	"2016"	"2016"	"Alcohol-induced causes"	"A"	220	1907116	11.54	10.77
"Total"	"Nebraska"	"31"	"2016"	"2016"			366	1907116	19.19	18.48
	"Nebraska"	"31"	"2017"	"2017"	"Drug-induced causes"	"D"	163	1920076	8.49	8.68
	"Nebraska"	"31"	"2017"	"2017"	"Alcohol-induced causes"	"A"	245	1920076	12.76	11.84
"Total"	"Nebraska"	"31"	"2017"	"2017"			408	1920076	21.25	20.51
"Total"	"Nebraska"	"31"					4769	34276767	13.91	13.69
	"Nevada"	"32"	"1999"	"1999"	"Drug-induced causes"	"D"	236	1934718	12.20	12.04
	"Nevada"	"32"	"1999"	"1999"	"Alcohol-induced causes"	"A"	254	1934718	13.13	13.18
"Total"	"Nevada"	"32"	"1999"	"1999"			490	1934718	25.33	25.21
	"Nevada"	"32"	"2000"	"2000"	"Drug-induced causes"	"D"	281	1998257	14.06	14.09
	"Nevada"	"32"	"2000"	"2000"	"Alcohol-induced causes"	"A"	217	1998257	10.86	10.75
"Total"	"Nevada"	"32"	"2000"	"2000"			498	1998257	24.92	24.85
	"Nevada"	"32"	"2001"	"2001"	"Drug-induced causes"	"D"	268	2098399	12.77	12.59
	"Nevada"	"32"	"2001"	"2001"	"Alcohol-induced causes"	"A"	251	2098399	11.96	11.81
"Total"	"Nevada"	"32"	"2001"	"2001"			519	2098399	24.73	24.41
	"Nevada"	"32"	"2002"	"2002"	"Drug-induced causes"	"D"	332	2173791	15.27	15.19
	"Nevada"	"32"	"2002"	"2002"	"Alcohol-induced causes"	"A"	211	2173791	9.71	9.45
"Total"	"Nevada"	"32"	"2002"	"2002"			543	2173791	24.98	24.64
	"Nevada"	"32"	"2003"	"2003"	"Drug-induced causes"	"D"	350	2248850	15.56	15.62
	"Nevada"	"32"	"2003"	"2003"	"Alcohol-induced causes"	"A"	245	2248850	10.89	10.51
"Total"	"Nevada"	"32"	"2003"	"2003"			595	2248850	26.46	26.12
	"Nevada"	"32"	"2004"	"2004"	"Drug-induced causes"	"D"	395	2346222	16.84	16.66
	"Nevada"	"32"	"2004"	"2004"	"Alcohol-induced causes"	"A"	232	2346222	9.89	9.41
"Total"	"Nevada"	"32"	"2004"	"2004"			627	2346222	26.72	26.05
	"Nevada"	"32"	"2005"	"2005"	"Drug-induced causes"	"D"	464	2432143	19.08	18.96
	"Nevada"	"32"	"2005"	"2005"	"Alcohol-induced causes"	"A"	225	2432143	9.25	8.89
"Total"	"Nevada"	"32"	"2005"	"2005"			689	2432143	28.33	27.87
	"Nevada"	"32"	"2006"	"2006"	"Drug-induced causes"	"D"	471	2522658	18.67	18.37
	"Nevada"	"32"	"2006"	"2006"	"Alcohol-induced causes"	"A"	217	2522658	8.60	8.14
"Total"	"Nevada"	"32"	"2006"	"2006"			688	2522658	27.27	26.52
	"Nevada"	"32"	"2007"	"2007"	"Drug-induced causes"	"D"	515	2601072	19.80	19.47
	"Nevada"	"32"	"2007"	"2007"	"Alcohol-induced causes"	"A"	253	2601072	9.73	9.25
"Total"	"Nevada"	"32"	"2007"	"2007"			768	2601072	29.53	28.69
	"Nevada"	"32"	"2008"	"2008"	"Drug-induced causes"	"D"	529	2653630	19.93	19.54
	"Nevada"	"32"	"2008"	"2008"	"Alcohol-induced causes"	"A"	281	2653630	10.59	10.00
"Total"	"Nevada"	"32"	"2008"	"2008"			810	2653630	30.52	29.55
	"Nevada"	"32"	"2009"	"2009"	"Drug-induced causes"	"D"	555	2684665	20.67	20.24
	"Nevada"	"32"	"2009"	"2009"	"Alcohol-induced causes"	"A"	319	2684665	11.88	11.12
"Total"	"Nevada"	"32"	"2009"	"2009"			874	2684665	32.56	31.34
	"Nevada"	"32"	"2010"	"2010"	"Drug-induced causes"	"D"	581	2700551	21.51	20.85
	"Nevada"	"32"	"2010"	"2010"	"Alcohol-induced causes"	"A"	336	2700551	12.44	11.43
"Total"	"Nevada"	"32"	"2010"	"2010"			917	2700551	33.96	32.28
	"Nevada"	"32"	"2011"	"2011"	"Drug-induced causes"	"D"	642	2723322	23.57	22.96
	"Nevada"	"32"	"2011"	"2011"	"Alcohol-induced causes"	"A"	346	2723322	12.71	11.76
"Total"	"Nevada"	"32"	"2011"	"2011"			988	2723322	36.28	34.72
	"Nevada"	"32"	"2012"	"2012"	"Drug-induced causes"	"D"	611	2758931	22.15	21.28
	"Nevada"	"32"	"2012"	"2012"	"Alcohol-induced causes"	"A"	369	2758931	13.37	12.31
"Total"	"Nevada"	"32"	"2012"	"2012"			980	2758931	35.52	33.60
	"Nevada"	"32"	"2013"	"2013"	"Drug-induced causes"	"D"	622	2790136	22.29	21.40
	"Nevada"	"32"	"2013"	"2013"	"Alcohol-induced causes"	"A"	368	2790136	13.19	11.81
"Total"	"Nevada"	"32"	"2013"	"2013"			990	2790136	35.48	33.17
	"Nevada"	"32"	"2014"	"2014"	"Drug-induced causes"	"D"	555	2839099	19.55	18.76
	"Nevada"	"32"	"2014"	"2014"	"Alcohol-induced causes"	"A"	378	2839099	13.31	11.92
"Total"	"Nevada"	"32"	"2014"	"2014"			933	2839099	32.86	30.67
	"Nevada"	"32"	"2015"	"2015"	"Drug-induced causes"	"D"	629	2890845	21.76	20.68
	"Nevada"	"32"	"2015"	"2015"	"Alcohol-induced causes"	"A"	433	2890845	14.98	13.17
"Total"	"Nevada"	"32"	"2015"	"2015"			1062	2890845	36.74	33.85
	"Nevada"	"32"	"2016"	"2016"	"Drug-induced causes"	"D"	678	2940058	23.06	22.10
	"Nevada"	"32"	"2016"	"2016"	"Alcohol-induced causes"	"A"	471	2940058	16.02	13.91
"Total"	"Nevada"	"32"	"2016"	"2016"			1149	2940058	39.08	35.99
	"Nevada"	"32"	"2017"	"2017"	"Drug-induced causes"	"D"	698	2998039	23.28	22.24
	"Nevada"	"32"	"2017"	"2017"	"Alcohol-induced causes"	"A"	513	2998039	17.11	14.84
"Total"	"Nevada"	"32"	"2017"	"2017"			1211	2998039	40.39	37.08
"Total"	"Nevada"	"32"					15331	48335386	31.72	30.47
	"New Hampshire"	"33"	"1999"	"1999"	"Drug-induced causes"	"D"	62	1222014	5.07	4.94
	"New Hampshire"	"33"	"1999"	"1999"	"Alcohol-induced causes"	"A"	89	1222014	7.28	7.12
"Total"	"New Hampshire"	"33"	"1999"	"1999"			151	1222014	12.36	12.05
	"New Hampshire"	"33"	"2000"	"2000"	"Drug-induced causes"	"D"	49	1235786	3.97	3.75
	"New Hampshire"	"33"	"2000"	"2000"	"Alcohol-induced causes"	"A"	91	1235786	7.36	7.09
"Total"	"New Hampshire"	"33"	"2000"	"2000"			140	1235786	11.33	10.85
	"New Hampshire"	"33"	"2001"	"2001"	"Drug-induced causes"	"D"	83	1255517	6.61	6.38
	"New Hampshire"	"33"	"2001"	"2001"	"Alcohol-induced causes"	"A"	124	1255517	9.88	9.54
"Total"	"New Hampshire"	"33"	"2001"	"2001"			207	1255517	16.49	15.94
	"New Hampshire"	"33"	"2002"	"2002"	"Drug-induced causes"	"D"	114	1269089	8.98	8.91
	"New Hampshire"	"33"	"2002"	"2002"	"Alcohol-induced causes"	"A"	77	1269089	6.07	5.71
"Total"	"New Hampshire"	"33"	"2002"	"2002"			191	1269089	15.05	14.60
	"New Hampshire"	"33"	"2003"	"2003"	"Drug-induced causes"	"D"	137	1279840	10.70	10.29
	"New Hampshire"	"33"	"2003"	"2003"	"Alcohol-induced causes"	"A"	95	1279840	7.42	6.74
"Total"	"New Hampshire"	"33"	"2003"	"2003"			232	1279840	18.13	17.02
	"New Hampshire"	"33"	"2004"	"2004"	"Drug-induced causes"	"D"	128	1290121	9.92	9.86
	"New Hampshire"	"33"	"2004"	"2004"	"Alcohol-induced causes"	"A"	103	1290121	7.98	7.27
"Total"	"New Hampshire"	"33"	"2004"	"2004"			231	1290121	17.91	17.14
	"New Hampshire"	"33"	"2005"	"2005"	"Drug-induced causes"	"D"	152	1298492	11.71	11.41
	"New Hampshire"	"33"	"2005"	"2005"	"Alcohol-induced causes"	"A"	110	1298492	8.47	7.55
"Total"	"New Hampshire"	"33"	"2005"	"2005"			262	1298492	20.18	18.92
	"New Hampshire"	"33"	"2006"	"2006"	"Drug-induced causes"	"D"	160	1308389	12.23	12.04
	"New Hampshire"	"33"	"2006"	"2006"	"Alcohol-induced causes"	"A"	100	1308389	7.64	6.67
"Total"	"New Hampshire"	"33"	"2006"	"2006"			260	1308389	19.87	18.71
	"New Hampshire"	"33"	"2007"	"2007"	"Drug-induced causes"	"D"	187	1312540	14.25	13.88
	"New Hampshire"	"33"	"2007"	"2007"	"Alcohol-induced causes"	"A"	120	1312540	9.14	7.97
"Total"	"New Hampshire"	"33"	"2007"	"2007"			307	1312540	23.39	21.86
	"New Hampshire"	"33"	"2008"	"2008"	"Drug-induced causes"	"D"	129	1315906	9.80	9.56
	"New Hampshire"	"33"	"2008"	"2008"	"Alcohol-induced causes"	"A"	125	1315906	9.50	7.85
"Total"	"New Hampshire"	"33"	"2008"	"2008"			254	1315906	19.30	17.40
	"New Hampshire"	"33"	"2009"	"2009"	"Drug-induced causes"	"D"	172	1316102	13.07	12.82
	"New Hampshire"	"33"	"2009"	"2009"	"Alcohol-induced causes"	"A"	131	1316102	9.95	8.37
"Total"	"New Hampshire"	"33"	"2009"	"2009"			303	1316102	23.02	21.17
	"New Hampshire"	"33"	"2010"	"2010"	"Drug-induced causes"	"D"	164	1316470	12.46	12.06
	"New Hampshire"	"33"	"2010"	"2010"	"Alcohol-induced causes"	"A"	127	1316470	9.65	7.93
"Total"	"New Hampshire"	"33"	"2010"	"2010"			291	1316470	22.10	19.99
	"New Hampshire"	"33"	"2011"	"2011"	"Drug-induced causes"	"D"	212	1318194	16.08	15.51
	"New Hampshire"	"33"	"2011"	"2011"	"Alcohol-induced causes"	"A"	136	1318194	10.32	8.30
"Total"	"New Hampshire"	"33"	"2011"	"2011"			348	1318194	26.40	23.81
	"New Hampshire"	"33"	"2012"	"2012"	"Drug-induced causes"	"D"	177	1320718	13.40	13.70
	"New Hampshire"	"33"	"2012"	"2012"	"Alcohol-induced causes"	"A"	146	1320718	11.05	8.81
"Total"	"New Hampshire"	"33"	"2012"	"2012"			323	1320718	24.46	22.50
	"New Hampshire"	"33"	"2013"	"2013"	"Drug-induced causes"	"D"	217	1323459	16.40	16.05
	"New Hampshire"	"33"	"2013"	"2013"	"Alcohol-induced causes"	"A"	174	1323459	13.15	10.33
"Total"	"New Hampshire"	"33"	"2013"	"2013"			391	1323459	29.54	26.38
	"New Hampshire"	"33"	"2014"	"2014"	"Drug-induced causes"	"D"	348	1326813	26.23	27.31
	"New Hampshire"	"33"	"2014"	"2014"	"Alcohol-induced causes"	"A"	183	1326813	13.79	11.06
"Total"	"New Hampshire"	"33"	"2014"	"2014"			531	1326813	40.02	38.39
	"New Hampshire"	"33"	"2015"	"2015"	"Drug-induced causes"	"D"	433	1330608	32.54	35.30
	"New Hampshire"	"33"	"2015"	"2015"	"Alcohol-induced causes"	"A"	173	1330608	13.00	9.96
"Total"	"New Hampshire"	"33"	"2015"	"2015"			606	1330608	45.54	45.24
	"New Hampshire"	"33"	"2016"	"2016"	"Drug-induced causes"	"D"	495	1334795	37.08	40.07
	"New Hampshire"	"33"	"2016"	"2016"	"Alcohol-induced causes"	"A"	176	1334795	13.19	10.55
"Total"	"New Hampshire"	"33"	"2016"	"2016"			671	1334795	50.27	50.62
	"New Hampshire"	"33"	"2017"	"2017"	"Drug-induced causes"	"D"	479	1342795	35.67	37.82
	"New Hampshire"	"33"	"2017"	"2017"	"Alcohol-induced causes"	"A"	176	1342795	13.11	10.32
"Total"	"New Hampshire"	"33"	"2017"	"2017"			655	1342795	48.78	48.12
"Total"	"New Hampshire"	"33"					6354	24717648	25.71	24.26
	"New Jersey"	"34"	"1999"	"1999"	"Drug-induced causes"	"D"	757	8359592	9.06	8.81
	"New Jersey"	"34"	"1999"	"1999"	"Alcohol-induced causes"	"A"	469	8359592	5.61	5.48
